epoch,val_loss,val_accuracy,val_f1_m,val_precision_m,val_recall_m
0,0.53554505,0.53554505,0.65489185,0.71997416,0.616106
1,0.7014218,0.7014218,0.83137244,0.7146122,1
2,0.69668245,0.69668245,0.82204944,0.7003117,1
3,0.69668245,0.69668245,0.82204944,0.7003117,1
4,0.69668245,0.69668245,0.82204944,0.7003117,1
5,0.7014218,0.7014218,0.82397664,0.7029239,1
6,0.7156398,0.7156398,0.82987344,0.71115184,1
7,0.73459715,0.73459715,0.85364723,0.7493764,1
8,0.7488152,0.7488152,0.85978115,0.7580952,1
9,0.7819905,0.7819905,0.8746273,0.7806146,1
10,0.8483412,0.8483412,0.90645075,0.8306096,1
11,0.86255926,0.86255926,0.9140688,0.84392273,1
12,0.90047395,0.90047395,0.931554,0.88387173,0.9875
13,0.92890996,0.92890996,0.95614636,0.9283493,0.9875
14,0.93838865,0.93838865,0.9625635,0.9296564,1
15,0.943128,0.943128,0.9652851,0.9343111,1
16,0.95734596,0.95734596,0.9733025,0.94952375,1
17,0.95734596,0.95734596,0.9733025,0.94952375,1
18,0.971564,0.971564,0.9819778,0.9651804,1
19,0.9810427,0.9810427,0.9879478,0.97642976,1
20,0.98578197,0.98578197,0.9909315,0.98213387,1
21,0.98578197,0.98578197,0.9909315,0.98213387,1
22,0.9905213,0.9905213,0.9937485,0.9876894,1
23,0.9905213,0.9905213,0.9937485,0.9876894,1
24,0.9810427,0.9810427,0.98730165,0.98729837,0.9875
25,0.9905213,0.9905213,0.9937485,0.9876894,1
26,0.9905213,0.9905213,0.9937485,0.9876894,1
27,0.9905213,0.9905213,0.9937485,0.9876894,1
28,0.9905213,0.9905213,0.9937485,0.9876894,1
29,0.9905213,0.9905213,0.9937485,0.9876894,1
30,0.9905213,0.9905213,0.9937485,0.9876894,1
31,0.9905213,0.9905213,0.9937485,0.9876894,1
32,0.9905213,0.9905213,0.9937485,0.9876894,1
33,0.9905213,0.9905213,0.9937485,0.9876894,1
34,0.9905213,0.9905213,0.9937485,0.9876894,1
35,0.9905213,0.9905213,0.9937485,0.9876894,1
36,0.9905213,0.9905213,0.9937485,0.9876894,1
37,0.9905213,0.9905213,0.9937485,0.9876894,1
38,0.98578197,0.98578197,0.9903738,0.99375,0.9875
39,0.9905213,0.9905213,0.9937485,0.9876894,1
40,0.99526066,0.99526066,0.9968254,0.99375,1
41,0.99526066,0.99526066,0.9968254,0.99375,1
42,0.99526066,0.99526066,0.9968254,0.99375,1
43,0.99526066,0.99526066,0.9968254,0.99375,1
44,0.99526066,0.99526066,0.9968254,0.99375,1
45,0.99526066,0.99526066,0.9968254,0.99375,1
46,0.99526066,0.99526066,0.9968254,0.99375,1
47,0.99526066,0.99526066,0.9968254,0.99375,1
48,0.99526066,0.99526066,0.9968254,0.99375,1
49,0.99526066,0.99526066,0.9968254,0.99375,1
50,0.99526066,0.99526066,0.9968254,0.99375,1
51,0.99526066,0.99526066,0.9968254,0.99375,1
52,0.99526066,0.99526066,0.9968254,0.99375,1
53,0.99526066,0.99526066,0.9968254,0.99375,1
54,0.99526066,0.99526066,0.9968254,0.99375,1
55,0.99526066,0.99526066,0.9968254,0.99375,1
56,0.99526066,0.99526066,0.9968254,0.99375,1
57,0.99526066,0.99526066,0.9968254,0.99375,1
58,0.99526066,0.99526066,0.9968254,0.99375,1
59,0.99526066,0.99526066,0.9968254,0.99375,1
60,0.99526066,0.99526066,0.9968254,0.99375,1
61,0.99526066,0.99526066,0.9968254,0.99375,1
62,0.99526066,0.99526066,0.9968254,0.99375,1
63,0.99526066,0.99526066,0.9968254,0.99375,1
64,0.99526066,0.99526066,0.9968254,0.99375,1
65,0.99526066,0.99526066,0.9968254,0.99375,1
66,0.99526066,0.99526066,0.9968254,0.99375,1
67,0.99526066,0.99526066,0.9968254,0.99375,1
68,0.99526066,0.99526066,0.9968254,0.99375,1
69,0.99526066,0.99526066,0.9968254,0.99375,1
70,0.99526066,0.99526066,0.9968254,0.99375,1
71,0.99526066,0.99526066,0.9968254,0.99375,1
72,0.99526066,0.99526066,0.9968254,0.99375,1
73,0.99526066,0.99526066,0.9968254,0.99375,1
74,0.99526066,0.99526066,0.9968254,0.99375,1
75,0.99526066,0.99526066,0.9968254,0.99375,1
76,0.99526066,0.99526066,0.9968254,0.99375,1
77,0.99526066,0.99526066,0.9968254,0.99375,1
78,0.99526066,0.99526066,0.9968254,0.99375,1
79,0.99526066,0.99526066,0.9968254,0.99375,1
80,0.99526066,0.99526066,0.9968254,0.99375,1
81,0.99526066,0.99526066,0.9968254,0.99375,1
82,0.99526066,0.99526066,0.9968254,0.99375,1
83,0.99526066,0.99526066,0.9968254,0.99375,1
84,0.99526066,0.99526066,0.9968254,0.99375,1
85,0.99526066,0.99526066,0.9968254,0.99375,1
86,0.99526066,0.99526066,0.9968254,0.99375,1
87,0.99526066,0.99526066,0.9968254,0.99375,1
88,0.99526066,0.99526066,0.9968254,0.99375,1
89,0.99526066,0.99526066,0.9968254,0.99375,1
90,0.99526066,0.99526066,0.9968254,0.99375,1
91,0.99526066,0.99526066,0.9968254,0.99375,1
92,0.99526066,0.99526066,0.9968254,0.99375,1
93,0.99526066,0.99526066,0.9968254,0.99375,1
94,0.99526066,0.99526066,0.9968254,0.99375,1
95,0.99526066,0.99526066,0.9968254,0.99375,1
96,0.99526066,0.99526066,0.9968254,0.99375,1
97,0.99526066,0.99526066,0.9968254,0.99375,1
98,0.99526066,0.99526066,0.9968254,0.99375,1
99,0.99526066,0.99526066,0.9968254,0.99375,1